Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,15,2,1931,1910,2219,2200,WN,2976,N202WN,108,110,91,19,21,MDW,ALB,717,4,13,0,,0,19,0,0,0,0
2009,1,10,4,943,940,1204,1235,WN,687,N665WN,141,175,121,-31,3,PHL,MCO,861,6,14,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,731,735,941,1000,WN,3231,N731SA,130,145,119,-19,-4,IAD,TPA,810,3,8,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1702,1550,1812,1705,WN,1496,N674AA,70,75,57,67,72,SMF,ONT,389,5,8,0,,0,0,0,1,0,66
2009,1,8,2,741,745,936,940,WN,63,N237WN,55,55,44,-4,-4,STL,SDF,254,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,644,645,848,900,WN,3319,N299WN,124,135,108,-12,-1,IND,MCO,828,7,9,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1247,1250,1347,1355,WN,1676,N706SW,60,65,51,-8,-3,LIT,DAL,296,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1611,1610,1915,1920,WN,30,N361SW,124,130,108,-5,1,LIT,BWI,912,6,10,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1859,1830,2000,1935,WN,962,N618WN,61,65,38,25,29,LAS,LAX,236,7,16,0,,0,0,0,0,0,25
2008,1,17,4,1619,1615,1752,1745,WN,114,N404WN,93,90,76,7,4,MCI,DAL,461,3,14,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,648,650,834,830,WN,595,N344SW,166,160,154,4,-2,BWI,LIT,912,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,955,910,1117,1035,WN,1484,N435WN,82,85,63,42,45,OAK,SAN,446,3,16,0,,0,42,0,0,0,0
2008,1,21,1,1715,1655,1819,1815,WN,1152,N726SW,64,80,56,4,20,SJC,LAS,386,3,5,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,745,750,813,820,WN,2447,N352SW,88,90,77,-7,-5,SAT,ELP,496,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,2049,2045,2203,2210,WN,2719,N496WN,74,85,62,-7,4,PDX,SMF,479,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,659,700,811,825,WN,3774,N716SW,72,85,59,-14,-1,SDF,BWI,495,5,8,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1621,1625,1858,1905,WN,1023,N219WN,157,160,146,-7,-4,MCO,DTW,957,6,5,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,2030,1910,2146,2025,WN,1015,N325SW,76,75,65,81,80,LAX,SMF,373,4,7,0,,0,24,0,1,0,56
2009,1,9,3,1930,1935,2035,2040,WN,623,N279WN,65,65,56,-5,-5,BHM,MSY,321,3,6,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,630,630,736,745,WN,1513,N679AA,66,75,47,-9,0,SJC,LAX,308,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1400,1350,1444,1440,WN,798,N658SW,104,110,90,4,10,ELP,LAS,584,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,653,650,813,815,WN,110,N505SW,80,85,68,-2,3,MSY,DAL,437,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,942,930,1027,1030,WN,1453,N453WN,105,120,92,-3,12,BWI,BNA,588,5,8,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,644,645,757,805,WN,3767,N646SW,133,140,113,-8,-1,PHL,BNA,675,5,15,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1459,1500,1627,1630,WN,295,N750SA,88,90,73,-3,-1,SAN,SFO,447,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,807,800,905,900,WN,5,N602SW,58,60,47,5,7,DAL,HOU,239,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1949,1955,2055,2100,WN,1663,N609SW,66,65,56,-5,-6,LAX,SJC,308,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1001,1005,1146,1140,WN,3429,N389SW,105,95,87,6,-4,SAN,SMF,480,5,13,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1455,1455,1604,1610,WN,1345,N416WN,69,75,59,-6,0,LAX,SMF,373,4,6,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,607,610,712,725,WN,2355,N714CB,65,75,53,-13,-3,CLE,BWI,314,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1714,1650,1753,1735,WN,2361,N618WN,99,105,83,18,24,DAL,ELP,562,3,13,0,,0,0,0,0,0,18
2008,1,16,3,650,650,802,805,WN,2524,N612SW,72,75,57,-3,0,BDL,BWI,283,2,13,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,957,945,1101,1055,WN,1343,N523SW,64,70,54,6,12,MSY,HOU,303,3,7,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,NA,1205,NA,1230,WN,1237,,NA,85,NA,NA,NA,PHX,LAX,370,NA,NA,1,A,0,NA,NA,NA,NA,NA
2009,1,8,2,2045,2045,2134,2140,WN,2023,N680AA,49,55,42,-6,0,SAT,DAL,248,2,5,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1305,1250,2048,2015,WN,843,N217JC,283,265,233,33,15,LAS,MCO,2039,11,39,0,,0,11,0,18,0,4
2008,1,20,7,1105,1105,1220,1230,WN,683,N602SW,75,85,60,-10,0,LAX,SFO,337,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,709,710,1012,1025,WN,2102,N241WN,183,195,171,-13,-1,ISP,RSW,1101,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,1721,1700,1839,1820,WN,2025,N433LV,78,80,62,19,21,SJC,LAS,386,5,11,0,,0,0,0,0,0,19
2008,1,16,3,1504,1505,1610,1615,WN,3399,N784SW,66,70,55,-5,-1,BDL,BWI,283,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,926,930,1034,1040,WN,2374,N671SW,68,70,55,-6,-4,ONT,SJC,333,5,8,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,2255,2135,2318,2155,WN,3323,N718SW,83,80,71,83,80,PHX,BUR,369,2,10,0,,0,10,0,3,0,70
2008,1,21,1,815,815,1035,1045,WN,121,N263WN,260,270,243,-10,0,MDW,SMF,1790,5,12,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,1218,1215,1320,1320,WN,20,N505SW,62,65,51,0,3,DAL,LBB,293,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1804,1805,2008,2010,WN,367,N352SW,64,65,46,-2,-1,LAS,PHX,256,5,13,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,2055,2100,2204,2215,WN,50,N374SW,69,75,58,-11,-5,ELP,PHX,347,5,6,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,729,730,1203,1225,WN,3679,N434WN,154,175,139,-22,-1,LAS,HOU,1235,2,13,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1427,1400,1536,1515,WN,1462,N798SW,69,75,56,21,27,HOU,OKC,419,3,10,0,,0,2,0,0,0,19
2009,1,11,5,1558,1555,1857,1900,WN,2093,N622SW,239,245,220,-3,3,BHM,PHX,1455,5,14,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1227,1230,1255,1310,WN,1026,N279WN,88,100,77,-15,-3,CLE,BNA,448,3,8,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,929,910,1059,1040,WN,19,N522SW,90,90,80,19,19,MCI,DAL,461,3,7,0,,0,1,0,0,0,18
2009,1,3,4,652,650,815,815,WN,110,N674AA,83,85,73,0,2,MSY,DAL,437,4,6,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,833,835,1047,1105,WN,561,N291WN,254,270,237,-18,-2,MDW,PDX,1751,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,2107,2000,2200,2100,WN,55,N654SW,53,60,41,60,67,DAL,HOU,239,4,8,0,,0,57,0,0,0,3
2008,1,22,2,1329,1330,1454,1450,WN,3167,N430WN,85,80,69,4,-1,SMF,SNA,404,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1651,1650,1720,1720,WN,1640,N694SW,89,90,78,0,1,SAT,ELP,496,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1409,1410,1913,1920,WN,3687,N617SW,184,190,171,-7,-1,LAX,MCI,1363,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1839,1830,1950,1940,WN,3771,N293,71,70,56,10,9,RNO,LAS,345,5,10,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,1706,1645,1710,1650,WN,458,N203WN,64,65,52,20,21,PHX,SAN,304,3,9,0,,0,11,0,0,0,9
2009,1,7,1,655,655,1222,1250,WN,568,N704SW,207,235,193,-28,0,SAN,MDW,1728,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1521,1510,2249,2255,WN,3144,N794SW,268,285,248,-6,11,LAS,ISP,2283,5,15,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,847,850,928,935,WN,899,N513SW,41,45,30,-7,-3,AUS,HOU,148,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,942,910,1317,1245,WN,3239,N371SW,155,155,143,32,32,STL,FLL,1056,3,9,0,,0,32,0,0,0,0
2008,1,23,3,641,640,904,910,WN,253,N638SW,83,90,73,-6,1,ELP,DAL,562,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1518,1520,1729,1735,WN,3069,N708SA,71,75,55,-6,-2,MDW,PIT,402,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1928,1925,2151,2150,WN,2725,N353SW,83,85,71,1,3,STL,CLE,487,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,946,950,1051,1100,WN,888,N374SW,65,70,54,-9,-4,CMH,BWI,336,3,8,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,1503,1415,1729,1615,WN,237,N281WN,146,120,91,74,48,OAK,SEA,671,5,50,0,,0,8,0,26,0,40
2009,1,12,6,804,805,1248,1300,WN,588,N727SW,164,175,144,-12,-1,SAN,HOU,1312,5,15,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1905,1905,2031,2040,WN,1156,N350SW,86,95,75,-9,0,DAL,STL,546,2,9,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,852,850,1202,1210,WN,2552,N295WN,130,140,115,-8,2,DEN,MDW,895,6,9,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,2057,1930,202,50,WN,2794,N468WN,185,200,171,72,87,LAS,MDW,1521,7,7,0,,0,60,0,0,0,12
2008,1,14,1,2047,2050,2158,2205,WN,2876,N735SA,71,75,61,-7,-3,RDU,PHL,336,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1224,1220,1322,1320,WN,19,N607SW,58,60,46,2,4,HOU,HRL,276,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1717,1635,2231,2200,WN,706,N261WN,194,205,179,31,42,DEN,MCO,1545,7,8,0,,0,0,4,0,0,27
2008,1,16,3,1420,1425,1544,1550,WN,1675,N217JC,84,85,72,-6,-5,SNA,SMF,404,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1045,1050,1542,1600,WN,773,N779SW,177,190,158,-18,-5,LAS,STL,1372,3,16,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1739,1730,1830,1820,WN,3420,N736SA,111,110,101,10,9,ABQ,SAN,628,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1623,1625,1926,1935,WN,1300,N462WN,123,130,108,-9,-2,MDW,ISP,765,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1511,1515,1551,1615,WN,3234,N770SA,160,180,148,-24,-4,SAT,LAS,1069,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,822,825,1037,1105,WN,3430,N203WN,135,160,124,-28,-3,TPA,BDL,1111,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1201,1155,1410,1425,WN,795,N283WN,129,150,111,-15,6,TPA,PHL,920,7,11,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,614,615,656,705,WN,6,N356SW,42,50,30,-9,-1,CRP,HOU,187,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,2216,2125,2348,2255,WN,900,N679AA,92,90,78,53,51,LAS,OAK,407,4,10,0,,0,11,0,2,0,40
2009,1,6,7,1601,1515,1721,1640,WN,3659,N497WN,80,85,65,41,46,PDX,SMF,479,4,11,0,,0,0,0,0,0,41
2009,1,10,4,1426,1425,2006,2025,WN,514,N755SA,220,240,205,-19,1,OAK,MDW,1844,3,12,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,1730,1600,1859,1715,WN,1671,N684WN,89,75,55,104,90,OAK,LAX,337,15,19,0,,0,1,0,14,0,89
2009,1,6,7,1321,1230,1603,1540,WN,186,N450WN,162,190,137,23,51,PVD,MCO,1073,5,20,0,,0,4,0,0,0,19
2008,1,22,2,1253,1250,1406,1410,WN,1609,N711HK,193,200,177,-4,3,SAT,LAX,1210,9,7,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1825,1830,1924,1935,WN,962,N614SW,59,65,40,-11,-5,LAS,LAX,236,6,13,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,701,700,835,850,WN,2114,N663SW,94,110,82,-15,1,PDX,SJC,569,2,10,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,815,820,1040,1025,WN,1034,N257WN,85,65,46,15,-5,LAS,PHX,256,7,32,0,,0,0,0,15,0,0
2008,1,16,3,1828,1815,2010,2010,WN,1469,N498WN,162,175,140,0,13,TPA,MCI,1048,9,13,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1810,1810,1927,1935,WN,1597,N433LV,77,85,66,-8,0,SMF,SAN,480,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,740,740,841,850,WN,255,N645SW,61,70,51,-9,0,AUS,LBB,341,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1131,1120,1149,1150,WN,2974,N271WN,78,90,65,-1,11,BOI,SEA,399,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1039,1015,1159,1130,WN,542,N413WN,80,75,53,29,24,BWI,CLE,314,9,18,0,,0,0,0,21,0,8
2008,1,21,1,1220,1225,1326,1330,WN,1064,N778SW,66,65,53,-4,-5,BWI,PVD,328,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,802,735,957,930,WN,1323,N692SW,55,55,43,27,27,STL,SDF,254,4,8,0,,0,4,0,0,0,23
2009,1,7,1,1040,1040,1107,1110,WN,2195,N453WN,87,90,71,-3,0,JAX,BNA,484,6,10,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1907,1835,2119,2105,WN,2804,N436WN,252,270,240,14,32,MDW,PDX,1751,6,6,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,NA,1525,NA,1630,WN,232,,NA,65,NA,NA,NA,LAX,SJC,308,NA,NA,1,A,0,NA,NA,NA,NA,NA
2009,1,11,5,1815,1815,1908,1910,WN,3915,N525SW,53,55,42,-2,0,TUL,MCI,223,3,8,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1344,1345,1630,1645,WN,1856,N221WN,106,120,92,-15,-1,DEN,AUS,775,4,10,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,2030,1945,2356,2325,WN,2441,N434WN,146,160,121,31,45,SEA,DEN,1024,7,18,0,,0,0,0,0,0,31
2009,1,6,7,1645,1635,1759,1750,WN,461,N650SW,74,75,58,9,10,PHL,PIT,267,5,11,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1722,1625,1756,1655,WN,225,N315SW,94,90,81,61,57,TUS,LAX,451,6,7,0,,0,13,0,4,0,44
2008,1,20,7,1854,1900,2038,2100,WN,3480,N215WN,104,120,93,-22,-6,MDW,JAN,666,2,9,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,2202,2130,2331,2305,WN,1747,N636WN,89,95,76,26,32,SLC,PHX,507,5,8,0,,0,0,4,0,0,22
2009,1,9,3,1142,1120,1250,1235,WN,3232,N240WN,68,75,58,15,22,SMF,LAS,397,4,6,0,,0,3,0,0,0,12
2008,1,21,1,1318,1315,1531,1540,WN,125,N399WN,133,145,112,-9,3,LAS,PDX,762,4,17,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1455,1500,1544,1550,WN,1752,N902WN,109,110,86,-6,-5,PHX,RNO,601,4,19,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,2100,2100,2151,2155,WN,79,N652SW,51,55,39,-4,0,HOU,DAL,239,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,741,740,1226,1235,WN,3244,N728SW,165,175,155,-9,1,LAS,HOU,1235,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,712,715,828,830,WN,1271,N624SW,76,75,60,-2,-3,DAL,MSY,437,2,14,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,623,620,848,830,WN,1174,N348SW,145,130,133,18,3,BNA,HOU,670,3,9,0,,0,0,0,18,0,0
2009,1,4,5,1911,1755,2054,1945,WN,775,N487WN,103,110,85,69,76,SMF,SEA,605,7,11,0,,0,9,0,0,0,60
2008,1,22,2,1328,1320,1625,1630,WN,217,N606SW,117,130,103,-5,8,DEN,AUS,775,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1009,1015,1126,1135,WN,2300,N643SW,77,80,63,-9,-6,SMF,LAS,397,5,9,0,,0,NA,NA,NA,NA,NA
2009,1,3,4,1003,1005,1208,1215,WN,871,N327SW,65,70,49,-7,-2,LAS,PHX,256,5,11,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,625,625,839,850,WN,1320,N238WN,74,85,60,-11,0,LAS,ABQ,487,4,10,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,1750,1755,2018,2035,WN,1305,N234WN,148,160,136,-17,-5,MCO,PVD,1073,4,8,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,1856,1905,2132,2150,WN,3223,N351SW,156,165,134,-18,-9,FLL,PHL,992,8,14,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1409,1415,1521,1525,WN,1375,N522SW,72,70,51,-4,-6,PHL,PIT,267,10,11,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,822,820,958,950,WN,864,N608SW,96,90,78,8,2,LAS,OAK,407,3,15,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,826,830,926,935,WN,1751,N510SW,60,65,48,-9,-4,AMA,DAL,324,4,8,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,927,910,1222,1210,WN,327,N397SW,115,120,105,12,17,PHX,SAT,843,3,7,0,,0,NA,NA,NA,NA,NA
2009,1,5,6,2005,1955,2143,2130,WN,2183,N654SW,158,155,129,13,10,AUS,PHX,872,20,9,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1108,1110,1319,1325,WN,2186,N467WN,71,75,57,-6,-2,LAX,PHX,370,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1224,1225,1343,1340,WN,1366,N339SW,139,135,112,3,-1,PHL,MDW,668,13,14,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,2037,2035,2339,2335,WN,123,N358SW,122,120,110,4,2,MDW,MHT,838,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,919,925,927,940,WN,3430,N452WN,68,75,58,-13,-6,JAX,BHM,365,2,8,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,718,720,850,900,WN,1473,N637SW,152,160,133,-10,-2,MCO,STL,880,4,15,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,1150,1145,1435,1440,WN,1413,N740SW,225,235,216,-5,5,BNA,PHX,1448,3,6,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1337,1340,1627,1630,WN,730,N662SW,110,110,91,-3,-3,OAK,PHX,646,9,10,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1356,1310,1956,1920,WN,106,N493WN,240,250,205,36,46,SFO,MDW,1855,6,29,0,,0,0,0,25,0,11
2009,1,6,7,2213,2155,2306,2255,WN,408,N337SW,53,60,42,11,18,PHX,ABQ,328,4,7,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,2131,2120,2220,2220,WN,3152,N368SW,109,120,95,0,11,BWI,BNA,588,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1421,1415,1448,1450,WN,3925,N434WN,87,95,78,-2,6,RDU,BNA,443,3,6,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1946,1935,2113,2100,WN,727,N326SW,87,85,70,13,11,MDW,MCI,405,5,12,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1643,1650,1745,1805,WN,2729,N476WN,122,135,110,-20,-7,ORF,MDW,704,5,7,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1801,1730,1910,1855,WN,2028,N636WN,69,85,48,15,31,PHL,MHT,290,4,17,0,,0,0,0,0,0,15
2009,1,9,3,628,630,717,720,WN,1235,N671SW,109,110,89,-3,-2,MCI,DEN,533,8,12,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1643,1645,1715,1720,WN,3919,N272WN,92,95,80,-5,-2,RDU,BNA,443,5,7,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,826,825,1203,1140,WN,432,N480WN,157,135,148,23,1,MSY,BWI,998,4,5,0,,0,0,0,23,0,0
2008,1,16,3,1631,1635,1734,1745,WN,519,N224WN,63,70,53,-11,-4,BWI,PVD,328,3,7,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1129,1135,1348,1420,WN,3237,N769SW,319,345,306,-32,-6,ALB,LAS,2237,7,6,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,1018,1005,1128,1110,WN,1092,N692SW,70,65,49,18,13,PHX,ELP,347,4,17,0,,0,13,0,5,0,0
2009,1,7,1,1341,1340,1443,1455,WN,1027,N206WN,62,75,47,-12,1,RNO,LAS,345,6,9,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,2014,2005,33,50,WN,411,N799SW,139,165,128,-17,9,LAS,MCI,1140,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,625,625,707,725,WN,1923,N782SA,102,120,84,-18,0,DEN,LAS,629,8,10,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1752,1725,1859,1830,WN,2821,N255WN,67,65,51,29,27,BWI,BDL,283,4,12,0,,0,25,0,2,0,2
2008,1,16,3,1644,1640,1807,1805,WN,1281,N240WN,83,85,65,2,4,SNA,OAK,371,6,12,0,,0,NA,NA,NA,NA,NA
2009,1,8,2,2041,2030,2248,2240,WN,3142,N738CB,67,70,52,8,11,LAS,TUS,365,3,12,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,2111,2010,157,55,WN,3746,N497WN,166,165,151,62,61,LAS,HOU,1235,4,11,0,,0,0,0,25,0,37
2008,1,15,2,1659,1705,1757,1815,WN,3953,N694SW,58,70,45,-18,-6,LAS,SAN,258,2,11,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1610,1515,1716,1630,WN,101,N373SW,66,75,51,46,55,BWI,CLE,314,7,8,0,,0,0,0,0,0,46
2009,1,3,4,850,840,1001,1000,WN,157,N481WN,71,80,61,1,10,SMF,LAS,397,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,2000,1925,2218,2150,WN,2725,N480WN,78,85,66,28,35,STL,CLE,487,6,6,0,,0,20,0,0,0,8
2009,1,5,6,841,845,941,955,WN,694,N684WN,120,130,108,-14,-4,BWI,MDW,611,3,9,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1107,1110,1227,1235,WN,635,N465WN,80,85,66,-8,-3,SAN,SJC,417,4,10,0,,0,NA,NA,NA,NA,NA
2009,1,7,1,1111,1110,1500,1510,WN,43,N763SW,109,120,96,-10,1,LAS,MAF,796,1,12,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,2028,2030,2309,2310,WN,2032,N551WN,101,100,86,-1,-2,BNA,MCO,616,6,9,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1956,1955,2329,2340,WN,1558,N433LV,153,165,138,-11,1,MDW,RSW,1105,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1952,1925,2021,2000,WN,1417,N771SA,89,95,76,21,27,RDU,BNA,443,5,8,0,,0,0,0,0,0,21
2008,1,22,2,749,750,851,850,WN,1543,N730SW,62,60,44,1,-1,LAS,SNA,226,3,15,0,,0,NA,NA,NA,NA,NA
2009,1,9,3,1355,1350,1453,1500,WN,1045,N746SW,58,70,48,-7,5,SMF,BUR,358,2,8,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,915,915,1120,1130,WN,248,N706SW,65,75,50,-10,0,SNA,PHX,338,5,10,0,,0,NA,NA,NA,NA,NA
2009,1,4,5,1305,1250,1624,1620,WN,342,N324SW,139,150,125,4,15,PHX,HOU,1020,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1644,1645,1808,1815,WN,2133,N528SW,84,90,65,-7,-1,MHT,PHL,290,12,7,0,,0,NA,NA,NA,NA,NA
2009,1,12,6,1713,1710,1944,1945,WN,2969,N347SW,91,95,78,-1,3,ABQ,DAL,580,2,11,0,,0,NA,NA,NA,NA,NA
2008,1,22,2,2113,2115,2156,2200,WN,224,N773SA,43,45,31,-4,-2,HOU,AUS,148,5,7,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1555,1600,1803,1830,WN,2210,N727SW,248,270,229,-27,-5,BNA,ONT,1751,6,13,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1658,1635,26,2355,WN,444,N232WN,268,260,240,31,23,LAS,IAD,2066,4,24,0,,0,17,0,8,0,6
2009,1,11,5,1934,1920,2057,2045,WN,3498,N256WN,83,85,69,12,14,SNA,SMF,404,6,8,0,,0,NA,NA,NA,NA,NA
2009,1,6,7,1116,1050,1617,1600,WN,773,N321SW,181,190,153,17,26,LAS,STL,1372,4,24,0,,0,10,0,0,0,7
2009,1,7,1,1513,1500,1615,1605,WN,1135,N346SW,122,125,105,10,13,ABQ,LAX,677,5,12,0,,0,NA,NA,NA,NA,NA
2009,1,14,1,1819,1825,2026,2035,WN,3942,N224WN,67,70,49,-9,-6,BHM,SDF,323,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,18,5,1046,1045,1141,1135,WN,793,N372SW,55,50,43,6,1,HOU,SAT,192,4,8,0,,0,NA,NA,NA,NA,NA
2009,1,10,4,1226,1230,1320,1325,WN,1135,N397SW,54,55,46,-5,-4,TUL,DAL,237,1,7,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1306,1310,1429,1440,WN,3053,N714CB,203,210,187,-11,-4,LIT,LAS,1295,10,6,0,,0,NA,NA,NA,NA,NA
2009,1,11,5,1601,1600,1654,1700,WN,39,N514SW,53,60,42,-6,1,DAL,HOU,239,2,9,0,,0,NA,NA,NA,NA,NA
2009,1,13,7,1916,1915,2004,2010,WN,889,N694SW,48,55,35,-6,1,LAS,ONT,197,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1714,1710,1820,1830,WN,406,N314SW,66,80,53,-10,4,RDU,PHL,336,5,8,0,,0,NA,NA,NA,NA,NA
